ERCC-00002	gSpikein_ERCC-00002	0	1061
ERCC-00003	gSpikein_ERCC-00003	0	1023
ERCC-00004	gSpikein_ERCC-00004	0	523
ERCC-00007	gSpikein_ERCC-00007	0	1135
ERCC-00009	gSpikein_ERCC-00009	0	984
ERCC-00012	gSpikein_ERCC-00012	0	994
ERCC-00013	gSpikein_ERCC-00013	0	808
ERCC-00014	gSpikein_ERCC-00014	0	1957
ERCC-00016	gSpikein_ERCC-00016	0	844
ERCC-00017	gSpikein_ERCC-00017	0	1136
ERCC-00018	gSpikein_ERCC-00018	0	1032
ERCC-00019	gSpikein_ERCC-00019	0	644
ERCC-00022	gSpikein_ERCC-00022	0	751
ERCC-00023	gSpikein_ERCC-00023	0	273
ERCC-00024	gSpikein_ERCC-00024	0	536
ERCC-00025	gSpikein_ERCC-00025	0	1994
ERCC-00028	gSpikein_ERCC-00028	0	1130
ERCC-00031	gSpikein_ERCC-00031	0	1138
ERCC-00033	gSpikein_ERCC-00033	0	2022
ERCC-00034	gSpikein_ERCC-00034	0	1019
ERCC-00035	gSpikein_ERCC-00035	0	1130
ERCC-00039	gSpikein_ERCC-00039	0	740
ERCC-00040	gSpikein_ERCC-00040	0	744
ERCC-00041	gSpikein_ERCC-00041	0	1122
ERCC-00042	gSpikein_ERCC-00042	0	1023
ERCC-00043	gSpikein_ERCC-00043	0	1023
ERCC-00044	gSpikein_ERCC-00044	0	1156
ERCC-00046	gSpikein_ERCC-00046	0	522
ERCC-00048	gSpikein_ERCC-00048	0	992
ERCC-00051	gSpikein_ERCC-00051	0	274
ERCC-00053	gSpikein_ERCC-00053	0	1023
ERCC-00054	gSpikein_ERCC-00054	0	274
ERCC-00057	gSpikein_ERCC-00057	0	1021
ERCC-00058	gSpikein_ERCC-00058	0	1136
ERCC-00059	gSpikein_ERCC-00059	0	525
ERCC-00060	gSpikein_ERCC-00060	0	523
ERCC-00061	gSpikein_ERCC-00061	0	1136
ERCC-00062	gSpikein_ERCC-00062	0	1023
ERCC-00067	gSpikein_ERCC-00067	0	644
ERCC-00069	gSpikein_ERCC-00069	0	1137
ERCC-00071	gSpikein_ERCC-00071	0	642
ERCC-00073	gSpikein_ERCC-00073	0	603
ERCC-00074	gSpikein_ERCC-00074	0	522
ERCC-00075	gSpikein_ERCC-00075	0	1023
ERCC-00076	gSpikein_ERCC-00076	0	642
ERCC-00077	gSpikein_ERCC-00077	0	273
ERCC-00078	gSpikein_ERCC-00078	0	993
ERCC-00079	gSpikein_ERCC-00079	0	644
ERCC-00081	gSpikein_ERCC-00081	0	534
ERCC-00083	gSpikein_ERCC-00083	0	1022
ERCC-00084	gSpikein_ERCC-00084	0	994
ERCC-00085	gSpikein_ERCC-00085	0	844
ERCC-00086	gSpikein_ERCC-00086	0	1020
ERCC-00092	gSpikein_ERCC-00092	0	1124
ERCC-00095	gSpikein_ERCC-00095	0	521
ERCC-00096	gSpikein_ERCC-00096	0	1107
ERCC-00097	gSpikein_ERCC-00097	0	523
ERCC-00098	gSpikein_ERCC-00098	0	1143
ERCC-00099	gSpikein_ERCC-00099	0	1350
ERCC-00104	gSpikein_ERCC-00104	0	2022
ERCC-00108	gSpikein_ERCC-00108	0	1022
ERCC-00109	gSpikein_ERCC-00109	0	536
ERCC-00111	gSpikein_ERCC-00111	0	994
ERCC-00112	gSpikein_ERCC-00112	0	1136
ERCC-00113	gSpikein_ERCC-00113	0	840
ERCC-00116	gSpikein_ERCC-00116	0	1991
ERCC-00117	gSpikein_ERCC-00117	0	1136
ERCC-00120	gSpikein_ERCC-00120	0	536
ERCC-00123	gSpikein_ERCC-00123	0	1022
ERCC-00126	gSpikein_ERCC-00126	0	1118
